日期,持仓市值,现金,持仓点数,累计投入
2021-11-16,101049.569697634,40960.0,25.427096913788443,59040.0
2021-11-17,101308.16327324722,40960.0,25.427096913788443,59040.0
2021-11-18,101244.84980193188,40960.0,25.427096913788443,59040.0
2021-11-19,101900.36036036935,40960.0,25.427096913788443,59040.0
2021-11-22,101825.6046954428,40960.0,25.427096913788443,59040.0
2021-11-23,101969.77633494399,40960.0,25.427096913788443,59040.0
2021-11-24,102303.12557548376,40960.0,25.427096913788443,59040.0
2021-11-25,102325.50142076789,40960.0,25.427096913788443,59040.0
2021-11-26,101901.12317327675,40960.0,25.427096913788443,59040.0
2021-11-29,101942.56934124624,40960.0,25.427096913788443,59040.0
2021-11-30,101892.22368935694,40960.0,25.427096913788443,59040.0
2021-12-01,102703.09380993765,40960.0,25.427096913788443,59040.0
2021-12-02,102743.26862306145,40960.0,25.427096913788443,59040.0
2021-12-03,103627.62305372299,40960.0,25.427096913788443,59040.0
2021-12-06,103385.55709110372,40960.0,25.427096913788443,59040.0
2021-12-07,104077.42839812791,40960.0,25.427096913788443,59040.0
2021-12-08,104287.71048960494,40960.0,25.427096913788443,59040.0
2021-12-09,104790.65846655969,40960.0,25.427096913788443,59040.0
2021-12-10,104229.48243767237,40960.0,25.427096913788443,59040.0
2021-12-13,104209.6493020796,40960.0,25.427096913788443,59040.0
2021-12-14,103692.71642182229,40960.0,25.427096913788443,59040.0
2021-12-15,104043.86463020172,40960.0,25.427096913788443,59040.0
2021-12-16,104728.10780815176,40960.0,25.427096913788443,59040.0
2021-12-17,104724.80228555297,40960.0,25.427096913788443,59040.0
2021-12-20,104615.21149785454,40960.0,25.427096913788443,59040.0
2021-12-21,105386.16107628061,40960.0,25.427096913788443,59040.0
2021-12-22,105164.43679119236,40960.0,25.427096913788443,59040.0
2021-12-23,105437.26954107732,40960.0,25.427096913788443,59040.0
2021-12-24,105073.40778424102,40960.0,25.427096913788443,59040.0
2021-12-27,105502.61718014575,40960.0,25.427096913788443,59040.0
2021-12-28,105240.71808193374,40960.0,25.427096913788443,59040.0
2021-12-29,105105.70019732151,40960.0,25.427096913788443,59040.0
2021-12-30,105418.45348936113,40960.0,25.427096913788443,59040.0
2021-12-31,106100.9167705272,40960.0,25.427096913788443,59040.0
2022-01-04,106977.13453017635,40960.0,25.427096913788443,59040.0
2022-01-05,106706.33594804449,40960.0,25.427096913788443,59040.0
2022-01-06,107068.92635003512,40960.0,25.427096913788443,59040.0
2022-01-07,107572.89141086642,40960.0,25.427096913788443,59040.0
2022-01-10,107946.6697354991,40960.0,25.427096913788443,59040.0
2022-01-11,108316.88826656387,40960.0,25.427096913788443,59040.0
2022-01-12,108068.211258747,40960.0,25.427096913788443,59040.0
2022-01-13,107795.6327798312,40960.0,25.427096913788443,59040.0
2022-01-14,106789.99109689087,40960.0,25.427096913788443,59040.0
2022-01-17,106856.86436177413,40960.0,25.427096913788443,59040.0
2022-01-18,107441.17904885298,40960.0,25.427096913788443,59040.0
2022-01-19,107846.48697365877,40960.0,25.427096913788443,59040.0
2022-01-20,107732.573579485,40960.0,25.427096913788443,59040.0
2022-01-21,106906.44720075603,40960.0,25.427096913788443,59040.0
2022-01-24,106773.4634838969,40960.0,25.427096913788443,59040.0
2022-01-25,104834.13880228226,40960.0,25.427096913788443,59040.0
2022-01-26,105324.3732307801,40960.0,25.427096913788443,59040.0
2022-01-27,104603.51503327419,40960.0,25.427096913788443,59040.0
2022-01-28,104302.2039348458,40960.0,25.427096913788443,59040.0
2022-02-07,106186.8603580958,40960.0,25.427096913788443,59040.0
2022-02-08,107740.71025049742,40960.0,25.427096913788443,59040.0
2022-02-09,107999.30382611064,40960.0,25.427096913788443,59040.0
2022-02-10,108553.61453883123,40960.0,25.427096913788443,59040.0
2022-02-11,108279.76470506973,40960.0,25.427096913788443,59040.0
2022-02-14,107307.43251908646,40960.0,25.427096913788443,59040.0
2022-02-15,107050.11029831892,40960.0,25.427096913788443,59040.0
2022-02-16,107576.45120443434,40960.0,25.427096913788443,59040.0
2022-02-17,107224.79445411665,40960.0,25.427096913788443,59040.0
2022-02-18,108328.33046017506,40960.0,25.427096913788443,59040.0
2022-02-21,108525.13619028778,40960.0,25.427096913788443,59040.0
2022-02-22,107892.76429004187,40960.0,25.427096913788443,59040.0
2022-02-23,107526.86836545245,40960.0,25.427096913788443,59040.0
2022-02-24,106497.07094044401,40960.0,25.427096913788443,59040.0
2022-02-25,106591.65974096331,40960.0,25.427096913788443,59040.0
2022-02-28,106482.06895326488,40960.0,25.427096913788443,59040.0
2022-03-01,106971.79483982445,40960.0,25.427096913788443,59040.0
2022-03-02,107364.89775811162,40960.0,25.427096913788443,59040.0
2022-03-03,108526.15327416435,40960.0,25.427096913788443,59040.0
2022-03-04,108041.00426504925,40960.0,25.427096913788443,59040.0
2022-03-07,107492.03324268057,40960.0,25.427096913788443,59040.0
2022-03-08,105636.36370991229,40960.0,25.427096913788443,59040.0
2022-03-09,105032.97870014809,40960.0,25.427096913788443,59040.0
2022-03-10,106096.59416405184,40960.0,25.427096913788443,59040.0
2022-03-11,106298.73958451647,40960.0,25.427096913788443,59040.0
2022-03-14,104998.39784834534,40960.0,25.427096913788443,59040.0
2022-03-15,101629.81604920664,32768.0,28.860415019595997,67232.0
2022-03-16,103304.874536944,32768.0,28.860415019595997,67232.0
2022-03-17,103917.86975196021,32768.0,28.860415019595997,67232.0
2022-03-18,105480.37262112113,32768.0,28.860415019595997,67232.0
2022-03-21,105446.60593554821,32768.0,28.860415019595997,67232.0
2022-03-22,106279.51751301375,32768.0,28.860415019595997,67232.0
2022-03-23,106067.97067092011,32768.0,28.860415019595997,67232.0
2022-03-24,106001.88032052523,32768.0,28.860415019595997,67232.0
2022-03-25,105781.96395807591,32768.0,28.860415019595997,67232.0
2022-03-28,106429.01446281526,32768.0,28.860415019595997,67232.0
2022-03-29,106388.32127763762,32768.0,28.860415019595997,67232.0
2022-03-30,107443.45805075405,32768.0,28.860415019595997,67232.0
2022-03-31,107985.16804067187,32768.0,28.860415019595997,67232.0
2022-04-01,108539.8652173485,32768.0,28.860415019595997,67232.0
2022-04-06,109828.19414382328,32768.0,28.860415019595997,67232.0
2022-04-07,108462.23070094579,32768.0,28.860415019595997,67232.0
2022-04-08,109157.18949461766,32768.0,28.860415019595997,67232.0
2022-04-11,108116.19432486084,32768.0,28.860415019595997,67232.0
2022-04-12,108693.69122940295,32768.0,28.860415019595997,67232.0
2022-04-13,108003.06149798403,32768.0,28.860415019595997,67232.0
2022-04-14,108629.90971220964,32768.0,28.860415019595997,67232.0
2022-04-15,108332.64743750781,32768.0,28.860415019595997,67232.0
2022-04-18,107714.16874363786,32768.0,28.860415019595997,67232.0
2022-04-19,108449.82072248738,32768.0,28.860415019595997,67232.0
2022-04-20,106923.68197625113,32768.0,28.860415019595997,67232.0
2022-04-21,105511.2532651921,32768.0,28.860415019595997,67232.0
2022-04-22,106443.44467032506,32768.0,28.860415019595997,67232.0
2022-04-25,103790.30671757358,26214.4,31.523516580413425,73785.6
2022-04-26,103227.29671144742,26214.4,31.523516580413425,73785.6
2022-04-27,104473.73655703696,26214.4,31.523516580413425,73785.6
2022-04-28,105692.12047286992,26214.4,31.523516580413425,73785.6
2022-04-29,106911.76532936611,26214.4,31.523516580413425,73785.6
2022-05-05,107122.6576552891,26214.4,31.523516580413425,73785.6
2022-05-06,105165.04727564543,26214.4,31.523516580413425,73785.6
2022-05-09,106048.0209750628,26214.4,31.523516580413425,73785.6
2022-05-10,107256.00213042425,26214.4,31.523516580413425,73785.6
2022-05-11,107061.8172682889,26214.4,31.523516580413425,73785.6
2022-05-12,107101.22166401442,26214.4,31.523516580413425,73785.6
2022-05-13,107953.93278751458,26214.4,31.523516580413425,73785.6
2022-05-16,107830.04536735357,26214.4,31.523516580413425,73785.6
2022-05-17,107047.9469209935,26214.4,31.523516580413425,73785.6
2022-05-18,106827.28230493062,26214.4,31.523516580413425,73785.6
2022-05-19,107247.17554578173,26214.4,31.523516580413425,73785.6
2022-05-20,107980.41254144214,26214.4,31.523516580413425,73785.6
2022-05-23,107730.11581979366,26214.4,31.523516580413425,73785.6
2022-05-24,105760.84173901525,26214.4,31.523516580413425,73785.6
2022-05-25,107425.59864962686,26214.4,31.523516580413425,73785.6
2022-05-26,108180.90210689357,26214.4,31.523516580413425,73785.6
2022-05-27,108642.40638963084,26214.4,31.523516580413425,73785.6
2022-05-30,108536.80260908644,26214.4,31.523516580413425,73785.6
2022-05-31,108376.03267452633,26214.4,31.523516580413425,73785.6
2022-06-01,108095.15814179485,26214.4,31.523516580413425,73785.6
2022-06-02,107652.56796900585,26214.4,31.523516580413425,73785.6
2022-06-06,107702.05989003708,26214.4,31.523516580413425,73785.6
2022-06-07,107938.17102922438,26214.4,31.523516580413425,73785.6
2022-06-08,108085.38585165492,26214.4,31.523516580413425,73785.6
2022-06-09,108277.04883246383,26214.4,31.523516580413425,73785.6
2022-06-10,108577.78318064098,26214.4,31.523516580413425,73785.6
2022-06-13,107346.78985817585,26214.4,31.523516580413425,73785.6
2022-06-14,108413.23042409122,26214.4,31.523516580413425,73785.6
2022-06-15,108940.61885648154,26214.4,31.523516580413425,73785.6
2022-06-16,107939.74720505343,26214.4,31.523516580413425,73785.6
2022-06-17,107674.94966577794,26214.4,31.523516580413425,73785.6
2022-06-20,107352.77932632613,26214.4,31.523516580413425,73785.6
2022-06-21,107516.07114221266,26214.4,31.523516580413425,73785.6
2022-06-22,106532.85266006956,26214.4,31.523516580413425,73785.6
2022-06-23,107141.25653007155,26214.4,31.523516580413425,73785.6
2022-06-24,106915.54815135579,26214.4,31.523516580413425,73785.6
2022-06-27,107208.086385222,26214.4,31.523516580413425,73785.6
2022-06-28,107645.94803052396,26214.4,31.523516580413425,73785.6
2022-06-29,107330.08239438821,26214.4,31.523516580413425,73785.6
2022-06-30,107429.06623645072,26214.4,31.523516580413425,73785.6
2022-07-01,107420.2396518082,26214.4,31.523516580413425,73785.6
2022-07-04,107576.59629404705,26214.4,31.523516580413425,73785.6
2022-07-05,107598.34752048753,26214.4,31.523516580413425,73785.6
2022-07-06,106485.88262036475,26214.4,31.523516580413425,73785.6
2022-07-07,106236.84683937949,26214.4,31.523516580413425,73785.6
2022-07-08,106341.50491442645,26214.4,31.523516580413425,73785.6
2022-07-11,106272.46841311536,26214.4,31.523516580413425,73785.6
2022-07-12,106445.84775430762,26214.4,31.523516580413425,73785.6
2022-07-13,106443.01063781537,26214.4,31.523516580413425,73785.6
2022-07-14,105441.82375122147,26214.4,31.523516580413425,73785.6
2022-07-15,103479.16960892492,20971.52,33.66257705319619,79028.48000000001
2022-07-18,104858.99864233544,20971.52,33.66257705319619,79028.48000000001
2022-07-19,105148.83343076345,20971.52,33.66257705319619,79028.48000000001
2022-07-20,105490.5085878534,20971.52,33.66257705319619,79028.48000000001
