日期,持仓市值,现金,持仓点数,持仓状态,年份
2011-08-04,99955.06593554954,25553.36512985104,76.91052203446269,1.0,2011
2011-08-05,98570.67653892923,25553.36512985104,76.91052203446269,1.0,2011
2011-08-08,95633.4637024331,25553.36512985104,76.91052203446269,1.0,2011
2011-08-09,95729.60185497618,25553.36512985104,76.91052203446269,1.0,2011
2011-08-10,96360.26813565877,25553.36512985104,76.91052203446269,1.0,2011
2011-08-11,97582.37633078637,25553.36512985104,76.91052203446269,1.0,2011
2011-08-12,98056.91425173901,25553.36512985104,76.91052203446269,1.0,2011
2011-08-15,99089.0534574415,25553.36512985104,76.91052203446269,1.0,2011
2011-08-16,98602.9789581837,25553.36512985104,76.91052203446269,1.0,2011
2011-08-17,98289.95313350344,25553.36512985104,76.91052203446269,1.0,2011
2011-08-18,97170.905037902,25553.36512985104,76.91052203446269,1.0,2011
2011-08-19,96680.21590732213,25553.36512985104,76.91052203446269,1.0,2011
2011-08-22,96174.14467233537,25553.36512985104,76.91052203446269,1.0,2011
2011-08-23,97188.59445796993,25553.36512985104,76.91052203446269,1.0,2011
2011-08-24,96953.24826054448,25553.36512985104,76.91052203446269,1.0,2011
2011-08-25,98756.80000225262,25553.36512985104,76.91052203446269,1.0,2011
2011-08-26,98642.97242964162,25553.36512985104,76.91052203446269,1.0,2011
2011-08-29,97852.33226312733,25553.36512985104,76.91052203446269,1.0,2011
2011-08-30,97532.38449146398,25553.36512985104,76.91052203446269,1.0,2011
2011-08-31,97497.77475654846,25553.36512985104,76.91052203446269,1.0,2011
2011-09-01,97094.76362108788,25553.36512985104,76.91052203446269,1.0,2011
2011-09-02,96275.66656142086,25553.36512985104,76.91052203446269,1.0,2011
2011-09-05,95012.02668439463,25553.36512985104,76.91052203446269,1.0,2011
2011-09-06,94534.41234256062,25553.36512985104,76.91052203446269,1.0,2011
2011-09-07,95981.86836724922,25553.36512985104,76.91052203446269,1.0,2011
2011-09-08,95367.35329619385,25553.36512985104,76.91052203446269,1.0,2011
2011-09-09,95151.23472927701,25553.36512985104,76.91052203446269,1.0,2011
2011-09-13,94372.1311410679,25553.36512985104,76.91052203446269,1.0,2011
2011-09-14,94763.60569822331,25553.36512985104,76.91052203446269,1.0,2011
2011-09-15,94689.0024918499,25553.36512985104,76.91052203446269,1.0,2011
2011-09-16,94715.15206934161,25553.36512985104,76.91052203446269,1.0,2011
2011-09-19,93442.28292967126,25553.36512985104,76.91052203446269,1.0,2011
2011-09-20,93746.84859692772,25553.36512985104,76.91052203446269,1.0,2011
2011-09-21,95340.43461348179,25553.36512985104,76.91052203446269,1.0,2011
2011-09-22,93663.01612791016,25553.36512985104,76.91052203446269,1.0,2011
2011-09-23,93246.93020370371,25553.36512985104,76.91052203446269,1.0,2011
2011-09-26,92240.1714702726,25553.36512985104,76.91052203446269,1.0,2011
2011-09-27,92820.07680641246,25553.36512985104,76.91052203446269,1.0,2011
2011-09-28,92013.28543027093,25553.36512985104,76.91052203446269,1.0,2011
2011-09-29,91131.89084775599,25553.36512985104,76.91052203446269,1.0,2011
2011-09-30,91006.52669683982,25553.36512985104,76.91052203446269,1.0,2011
2011-10-10,90641.97082239647,25553.36512985104,76.91052203446269,1.0,2011
2011-10-11,90585.05703609096,25553.36512985104,76.91052203446269,1.0,2011
2011-10-12,92463.98108939288,25553.36512985104,76.91052203446269,1.0,2011
2011-10-13,92980.05069224414,25553.36512985104,76.91052203446269,1.0,2011
2011-10-14,92824.69143773451,25553.36512985104,76.91052203446269,1.0,2011
2011-10-17,93146.94652505891,25553.36512985104,76.91052203446269,1.0,2011
2011-10-18,91511.0597213859,25553.36512985104,76.91052203446269,1.0,2011
2011-10-19,91321.09073196076,25553.36512985104,76.91052203446269,1.0,2011
2011-10-20,89830.56481493289,25553.36512985104,76.91052203446269,1.0,2011
2011-10-21,89637.5194046264,25553.36512985104,76.91052203446269,1.0,2011
2011-10-24,90974.22427758535,25553.36512985104,76.91052203446269,1.0,2011
2011-10-25,92076.3520583392,25553.36512985104,76.91052203446269,1.0,2011
2011-10-26,92517.81845481701,25553.36512985104,76.91052203446269,1.0,2011
2011-10-27,92998.5092175324,25553.36512985104,76.91052203446269,1.0,2011
2011-10-28,94061.41263204868,25553.36512985104,76.91052203446269,1.0,2011
2011-10-31,94052.18336940453,25553.36512985104,76.91052203446269,1.0,2011
2011-11-01,94092.94594608281,25553.36512985104,76.91052203446269,1.0,2011
2011-11-02,95103.55020561564,25553.36512985104,76.91052203446269,1.0,2011
2011-11-03,95281.9826167356,25553.36512985104,76.91052203446269,1.0,2011
2011-11-04,95562.7060221614,25553.36512985104,76.91052203446269,1.0,2011
2011-11-07,95251.98751314216,95251.98751314216,0.0,0.0,2011
2011-11-08,95251.98751314216,47625.99375657108,52.80043653721849,0.5,2011
2011-11-09,95616.83852961432,95616.83852961432,0.0,0.0,2011
2011-11-10,95616.83852961432,47808.41926480716,53.31476856187791,0.5,2011
2011-11-11,95607.77501895881,95607.77501895881,0.0,0.0,2011
2011-11-14,95607.77501895881,47803.887509479406,52.323600084804845,0.5,2011
2011-11-15,95686.26041908601,95686.26041908601,0.0,0.0,2011
2011-11-16,95686.26041908601,47843.13020954301,53.437502328291885,0.5,2011
2011-11-17,95617.32604108252,47843.13020954301,53.437502328291885,0.5,2011
2011-11-18,94752.70725341076,47843.13020954301,53.437502328291885,0.5,2011
2011-11-21,94798.1291303898,47843.13020954301,53.437502328291885,0.5,2011
2011-11-22,94802.40413057606,47843.13020954301,53.437502328291885,0.5,2011
2011-11-23,94534.14786888805,23921.565104771504,80.81554536665698,1.0,2011
2011-11-24,94652.94672057703,23921.565104771504,80.81554536665698,1.0,2011
2011-11-25,94144.61694022075,23921.565104771504,80.81554536665698,1.0,2011
2011-11-28,94445.25076898471,23921.565104771504,80.81554536665698,1.0,2011
2011-11-29,95168.5499000163,23921.565104771504,80.81554536665698,1.0,2011
2011-11-30,92933.19191517457,23921.565104771504,80.81554536665698,1.0,2011
2011-12-01,94267.45656917807,23921.565104771504,80.81554536665698,1.0,2011
2011-12-02,93319.49022202719,23921.565104771504,80.81554536665698,1.0,2011
2011-12-05,92188.07258689399,23921.565104771504,80.81554536665698,1.0,2011
2011-12-06,92109.68150788834,23921.565104771504,80.81554536665698,1.0,2011
2011-12-07,92301.2143504073,23921.565104771504,80.81554536665698,1.0,2011
2011-12-08,92252.72502318732,23921.565104771504,80.81554536665698,1.0,2011
